Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
TJ Yeldon,JAX,RB,16,0,0,0,382.8,2.64,34.32,262.68,0,0,0,0,0,FantasyPros
Christian Kirk,ARI,WR,16,0,0,0,10.56,0,44.88,546.48,3.96,0,0,0,0,FantasyPros
Mike Gesicki,MIA,TE,16,0,0,0,0,0,60.72,547.8,3.96,0,0,0,0,FantasyPros
Travaris Cadet,BUF,RB,16,0,0,0,341.88,2.64,29.04,200.64,1.32,0,0,0,0,FantasyPros
Chester Rogers,IND,WR,16,0,0,0,30.36,0,42.24,562.32,2.64,0,0,0,0,FantasyPros
Taywan Taylor,TEN,WR,16,0,0,0,67.32,0,38.28,521.4,2.64,0,0,0,0,FantasyPros
Seth Roberts,OAK,WR,16,0,0,0,26.4,1.32,50.16,504.24,2.64,0,0,0,0,FantasyPros
Cole Beasley,DAL,WR,16,0,0,0,0,0,54.12,575.52,2.64,0,0,0,0,FantasyPros
Bennie Fowler,CHI,WR,16,0,0,0,0,0,36.96,492.36,3.96,0,0,0,0,FantasyPros
De'Angelo Henderson,DEN,RB,16,0,0,0,425.04,2.64,13.2,117.48,1.32,0,0,0,0,FantasyPros
Chris Godwin,TB,WR,16,0,0,0,0,0,40.92,566.28,2.64,0,0,0,0,FantasyPros
Chris Ivory,BUF,RB,16,0,0,0,521.4,2.64,14.52,118.8,0,0,0,0,0,FantasyPros
James Washington,PIT,WR,16,0,0,0,17.16,1.32,36.96,479.16,2.64,0,0,0,0,FantasyPros
Geronimo Allison,GB,WR,16,0,0,0,0,0,39.6,520.08,3.96,0,0,0,0,FantasyPros
Robert Turbin,IND,RB,16,0,0,0,352.44,3.96,19.8,135.96,0,0,0,0,0,FantasyPros
Gerald Everett,LAR,TE,16,0,0,0,0,0,36.96,459.36,3.96,0,0,0,0,FantasyPros
Courtland Sutton,DEN,WR,16,0,0,0,0,0,44.88,563.64,2.64,0,0,0,0,FantasyPros
Taylor Gabriel,CHI,WR,16,0,0,0,27.72,0,44.88,587.4,1.32,0,0,0,0,FantasyPros
Trent Taylor,SF,WR,16,0,0,0,0,0,50.16,583.44,2.64,0,0,0,0,FantasyPros
Roberto Aguayo,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Adam Humphries,TB,WR,16,0,0,0,15.84,0,58.08,615.12,1.32,0,0,0,0,FantasyPros
Virgil Green,LAC,TE,16,0,0,0,0,0,39.6,438.24,3.96,0,0,0,0,FantasyPros
Anthony Miller,CHI,WR,16,0,0,0,9.24,0,39.6,522.72,2.64,0,0,0,0,FantasyPros
Michael Gallup,DAL,WR,16,0,0,0,29.04,0,39.6,501.6,2.64,0,0,0,0,FantasyPros
Josh Allen,BUF,QB,16,1250.04,6.6,7.92,43.56,0,0,0,0,0,0,0,0,FantasyPros
Corey Grant,JAX,RB,16,0,0,0,440.88,2.64,11.88,99,0,0,0,0,0,FantasyPros
Jalen Richard,OAK,RB,16,0,0,0,318.12,1.32,27.72,244.2,1.32,0,0,0,0,FantasyPros
Chase Edmonds,ARI,RB,16,0,0,0,385.44,2.64,18.48,147.84,0,0,0,0,0,FantasyPros
